tweetid,timestamp,tweet_type,followers,retweet_id,retweet_count,text,author_id,language,verified,keywords
1.38E+18,2021-04-07T07:35:28.000Z,retweeted,614,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,283449860,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:25:14.000Z,retweeted,9597,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,634021603,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:12:43.000Z,retweeted,954,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1440487812,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:11:37.000Z,retweeted,760,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,121548363,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:07:03.000Z,retweeted,5777,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,4273838681,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:04:24.000Z,retweeted,2239,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,48710714,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:03:06.000Z,retweeted,57,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,465763194,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:02:00.000Z,retweeted,1099,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.04E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T06:57:26.000Z,retweeted,4854,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,4491811,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T06:54:10.000Z,retweeted,3410,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,95695777,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
